Nazwa zespołu,Nazwa płyty,"wydanie
",Stan płyty 1-10,Dostępna? (T/N),Zdjęcie front (opcjonalne),Zdjęcie back (opcjonalne),Zdjęcie płyta (opcjonalne),Cena (zł)
Cream,The Story Of The Cream,ITA,NM,,https://img.discogs.com/XcGBKVD5to1ycNyGS1CnzXi59f4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1545253-1310836365.jpeg.jpg,https://www.billboard.com/files/media/herb-alperts-tijuana-brass-whipped-cream-and-other-delights-billboard-1548.jpg,https://static.seattletimes.com/wp-content/uploads/2013/10/2018926279-780x0.jpg,45 ZŁ
Cream,The Story Of The Cream vol. 1,ITA,EX+,,https://img.discogs.com/C-hUiU4aiCq_0YuFfHP8WSynSFg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2360370-1492643918-9003.jpeg.jpg,https://i.ebayimg.com/images/g/vtEAAOSwGj9d3bDL/s-l300.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Livecreamii.jpg/220px-Livecreamii.jpg,45 ZŁ
Cream,Wheels Of Fire 2 LP,UK,NM,,https://img.discogs.com/yYdFo0-4-FETTj4kY50cXqXc1x4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-4753739-1383442845-8179.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/a/a8/Creamwheelsoffire.jpeg,https://img.discogs.com/uu2slyxQELF_FSFdlS38u2NINDI=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2906892-1306677383.jpeg.jpg,100 ZŁ
CSNY,Deja Vu,USA,EX-,,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Crosby%2C_Stills%2C_Nash_%26_Young_-_Deja_Vu.jpg/220px-Crosby%2C_Stills%2C_Nash_%26_Young_-_Deja_Vu.jpg,http://www.popspotsnyc.com/deja_vu/DEJA_VU_LARGE_2.jpg,https://img.discogs.com/LlKgG-ChBQW_XY-mkwOGcUN-jQs=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1132195-1327135607.jpeg.jpg,60 ZŁ
Culture Club,Kissing To Be Clever,GER,VG+/EX-,,https://images-na.ssl-images-amazon.com/images/I/8161gdIy3LL._SY355_.jpg,https://upload.wikimedia.org/wikipedia/en/1/1c/CultureClubKissingtoBeClever.jpg,https://dygtyjqp7pi0m.cloudfront.net/i/40358/34680414_1.jpg?v=8D74DD016744730,25 ZŁ
Cyndi Lauper,She's So Unusual,HOL,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/ShesSoUnusual1984.PNG/220px-ShesSoUnusual1984.PNG,https://cdn11.bigcommerce.com/s-8e25iavqdi/images/stencil/original/products/619/668/Cyndi_Lauper_Shes_So_Unusual__53364.1536570850.jpg?c=2&imbypass=on,https://upload.wikimedia.org/wikipedia/en/0/09/ShesSoUnusual1984.PNG,30 ZŁ
Cyndi Lauper,True Colors,HOL,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Cyndi_Lauper_-_True_Colors.jpg/220px-Cyndi_Lauper_-_True_Colors.jpg,https://img.discogs.com/sha05VfaZgKOgpyLYHRJOtNabiw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-914101-1413699456-9046.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/2/2f/Cyndi_Lauper_-_True_Colors.jpg,40 ZŁ
Dalilah Lavi,same,AUT,EX,,,https://img.discogs.com/2m5EiQ1OWUg8jwqYJHVzwqNIzwY=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-4132265-1501096446-8577.jpeg.jpg,https://cloud10.todocoleccion.online/discos-vinilo/tc/2016/01/31/19/54160723.jpg,25 ZŁ
Dave Stewart & The Spiritual Cowboys,GER,EX,EX+,,https://www.billboard.com/files/styles/article_main_image/public/media/producer-dave-stewart-2014-billboard-650.jpg,,https://cdn1.thr.com/sites/default/files/imagecache/768x433/2018/10/gettyimages-1055278358-h_2018.jpg,45 ZŁ
David Bowie,Dzieci z dworca ZOO,GER,EX,,,https://upload.wikimedia.org/wikipedia/en/0/02/Christiane_F_Poster.jpg,http://assets.nydailynews.com/polopoly_fs/1.101046.1313912139!/img/httpImage/image.jpg_gen/derivatives/landscape_630/image.jpg,65 ZŁ
David Bowie,Let's Dance,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/David-bowie-lets-dance.jpg/220px-David-bowie-lets-dance.jpg,https://img.discogs.com/m-XIkGmp-NuTVkr1uny4nsVHNSI=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1543526-1304440424.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/8/8d/David-bowie-lets-dance.jpg,50 ZŁ
David Bowie,Let's Dance,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/David-bowie-lets-dance.jpg/220px-David-bowie-lets-dance.jpg,https://img.discogs.com/m-XIkGmp-NuTVkr1uny4nsVHNSI=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1543526-1304440424.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/8/8d/David-bowie-lets-dance.jpg,50 ZŁ
David Gilmour,same,GER,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/David_Gilmour_self-titled.jpg/220px-David_Gilmour_self-titled.jpg,https://townsquare.media/site/295/files/2015/07/Rattle6302.jpg?w=980&q=75,https://upload.wikimedia.org/wikipedia/en/f/f3/David_Gilmour_self-titled.jpg,100 ZŁ
David Hasselhoff,David,GER,VG/VG+,,https://img.discogs.com/RJlxs-F2z-nZT5ioI-8pQ61vxVQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-9553847-1482624046-4721.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/David_by_David_Hasselhoff.jpg/220px-David_by_David_Hasselhoff.jpg,https://img.discogs.com/lRcaOEXApPQqbE55pbTsiCtaKEU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2193602-1332666840.jpeg.jpg,15 ZŁ
David Knopfler,Behind The Lines,GER,EX+,,https://img.discogs.com/1NLGuuFwn8IxJ_iGuUVGZyLJLD0=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1860216-1248383789.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Behind_the_Lines_%28David_Knopfler_album%29.jpg/220px-Behind_the_Lines_%28David_Knopfler_album%29.jpg,https://img.discogs.com/L48jv9yFosdDWLyywCQx2r9gJ-Y=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2422378-1283445976.jpeg.jpg,30 ZŁ
David Konopfler,Behind The Lines,GER,EX+,,https://img.discogs.com/L48jv9yFosdDWLyywCQx2r9gJ-Y=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2422378-1283445976.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Behind_the_Lines_%28David_Knopfler_album%29.jpg/220px-Behind_the_Lines_%28David_Knopfler_album%29.jpg,https://img.discogs.com/1NLGuuFwn8IxJ_iGuUVGZyLJLD0=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1860216-1248383789.jpeg.jpg,40 ZŁ
Dead Can Dance,Within The Realm...,GER,NM,,https://img.discogs.com/kY8W84Y_asMX0PWq3oJuGl9Etck=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-863288-1198354190.jpeg.jpg,https://cf-cdn.beggars.com/fourad/site/images/releases/packshots/57d6c66767c0f.jpg,https://img.discogs.com/pSBZnYaYwjikY4U2ihsOvvZfxKA=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1791816-1369833161-5433.jpeg.jpg,200 ZŁ
Deep Purple,Deep Purple,GER,VG+,,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Deep_Purple_%28album%29.jpg/220px-Deep_Purple_%28album%29.jpg,https://img.discogs.com/5Uaf4G9FwQJJRM1COPU0YQCSMn4=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-459250-1393158077-1812.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/0/01/Deep_Purple_%28album%29.jpg,60 ZŁ
Deep Purple,In Rock,UK,EX+,,https://upload.wikimedia.org/wikipedia/en/5/54/Deep_Purple_in_Rock.jpg,https://athenae25.files.wordpress.com/2015/10/deep-purple-in-rock.jpeg,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Deep_Purple_in_Rock.jpg/220px-Deep_Purple_in_Rock.jpg,70 ZŁ
Deep Purple,Machine Head,GER,VG+/EX-,,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Machine_Head_album_cover.jpg/220px-Machine_Head_album_cover.jpg,https://img.discogs.com/lAOp2VpvY5Afnc13LuwfDXNLL78=/fit-in/600x591/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3754364-1556210593-8292.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/0/00/Machine_Head_album_cover.jpg,65 ZŁ
Deep Purple,Machine Head,ITA,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Machine_Head_album_cover.jpg/220px-Machine_Head_album_cover.jpg,https://img.discogs.com/lAOp2VpvY5Afnc13LuwfDXNLL78=/fit-in/600x591/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3754364-1556210593-8292.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/0/00/Machine_Head_album_cover.jpg,80 ZŁ
Deep Purple,Made In Japan 2 LP,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Deep_Purple_Made_in_Japan.jpg/220px-Deep_Purple_Made_in_Japan.jpg,https://img.discogs.com/1AThURL44KIySF5BY20yIUmzIkg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-401892-1252856930.jpeg.jpg,https://i.etsystatic.com/7546063/r/il/0e1428/1248672350/il_570xN.1248672350_48h2.jpg,110 ZŁ
Deep Purple,The House Of The Blue Light,GER,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/DeepPurpleTheHouse.jpg/220px-DeepPurpleTheHouse.jpg,http://www.progarchives.com/progressive_rock_discography_covers/1969/cover_5825162112016_r.jpg,https://img.discogs.com/6QcDRfbHZvy_8jOZkuQ7_Rsa0Dw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1471344-1506614947-1674.jpeg.jpg,50 ZŁ
Deep Purple,The Very Best Of...,UK,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Deep_Purple_The_Very_Best_Of.jpg/220px-Deep_Purple_The_Very_Best_Of.jpg,https://img.discogs.com/G_hPJwXqCln90EHpZC3AaKLx_dk=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1345091-1413118161-6517.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/7/76/Deepest_Purple.jpg,60 ZŁ
Def Leppard,Adrenalize,UK,EX+,,https://www.udiscovermusic.com/wp-content/uploads/2018/03/Def-Leppard-Adrenalize-Album-Cover-web-optimised-820.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Def_Leppard_-_Adrenalize.jpg/220px-Def_Leppard_-_Adrenalize.jpg,https://townsquare.media/site/295/files/2017/03/deflepAdrenalize.jpg?w=980&q=75,135 ZŁ
Def Leppard,High And Dry,UK,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Def_Leppard_-_High_%27n%27_Dry.jpg/220px-Def_Leppard_-_High_%27n%27_Dry.jpg,https://www.udiscovermusic.com/wp-content/uploads/2018/07/Def-Leppard-High-N-Dry-Album-Cover-web-optimised-820.jpg,https://upload.wikimedia.org/wikipedia/en/2/2f/Def_Leppard_-_High_%27n%27_Dry.jpg,60 ZŁ
Def Leppard,Pyromania,UK,VG+/EX-,,https://www.udiscovermusic.com/wp-content/uploads/2018/01/Def-Leppard-Pyromania-Album-Cover-web-820-optimised.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Def_Leppard_-_Pyromania.jpg/220px-Def_Leppard_-_Pyromania.jpg,https://images-na.ssl-images-amazon.com/images/I/815x8CCXCVL._SY355_.jpg,50 ZŁ
Def Leppard,Pyromania,UK,EX,,https://www.udiscovermusic.com/wp-content/uploads/2018/01/Def-Leppard-Pyromania-Album-Cover-web-820-optimised.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Def_Leppard_-_Pyromania.jpg/220px-Def_Leppard_-_Pyromania.jpg,https://images-na.ssl-images-amazon.com/images/I/815x8CCXCVL._SY355_.jpg,60 ZŁ
Dennis Edwards,Don't Look Any Further,GER,EX+,,https://img.discogs.com/8WRS2mQ1Usifftkz1OSFhpg2f2s=/fit-in/600x594/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1612778-1364678310-5517.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/71Gx%2BI0-LwL._SL1431_.jpg,https://img.discogs.com/dg0en2PKW_rHDMHipM2RoaTquDU=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1612778-1364678310-5517.jpeg.jpg,30 ZŁ
Depeche Mode,Construction Time Again,FRA,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Depeche_Mode_-_Construction_Time_Again.png/220px-Depeche_Mode_-_Construction_Time_Again.png,https://img.discogs.com/M1D1lQctiFFN1YlTR3kqrfHzCKg=/fit-in/600x597/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-126824-1176188524.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/4/43/Depeche_Mode_-_Construction_Time_Again.png,65 ZŁ
Depeche Mode,Speak & Spell,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Depeche_Mode_-_Speak_%26_Spell.png/220px-Depeche_Mode_-_Speak_%26_Spell.png,https://img.discogs.com/RT7sF7hajYXTZisV9tvqhdwGXaA=/fit-in/597x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-56293-1175931119.jpeg.jpg,https://images-na.ssl-images-amazon.com/images/I/715qwWR5jLL._SX355_.jpg,90 ZŁ
Depeche Mode,Speak And Spell,GER,EX-/EX,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Depeche_Mode_-_Speak_%26_Spell.png/220px-Depeche_Mode_-_Speak_%26_Spell.png,https://img.discogs.com/RT7sF7hajYXTZisV9tvqhdwGXaA=/fit-in/597x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-56293-1175931119.jpeg.jpg,https://i.imgur.com/nBJf5mu.jpg,90 ZŁ
Derek & The Dominoes,In Concert 2 LP,UK,EX+,,https://m.media-amazon.com/images/M/MV5BMTQ2NzA0ODIzMl5BMl5BanBnXkFtZTgwMDg5NzMxMDE@._V1_.jpg,https://pbs.twimg.com/profile_images/418151894172041217/LN7ZC_My_400x400.jpeg,https://cdn.vanderbilt.edu/vu-wp0/wp-content/uploads/sites/181/2013/08/01095102/Griffith_Derek.jpg,70 ZŁ
Derek & The Dominoes,Layla... 2 LP,UK,EX,,https://m.media-amazon.com/images/M/MV5BMTQ2NzA0ODIzMl5BMl5BanBnXkFtZTgwMDg5NzMxMDE@._V1_.jpg,https://pbs.twimg.com/profile_images/418151894172041217/LN7ZC_My_400x400.jpeg,https://cdn.vanderbilt.edu/vu-wp0/wp-content/uploads/sites/181/2013/08/01095102/Griffith_Derek.jpg,100 ZŁ
Derek & The Dominos,In Concert 2 LP,UK,EX+,,https://m.media-amazon.com/images/M/MV5BMTQ2NzA0ODIzMl5BMl5BanBnXkFtZTgwMDg5NzMxMDE@._V1_.jpg,https://pbs.twimg.com/profile_images/418151894172041217/LN7ZC_My_400x400.jpeg,https://cdn.vanderbilt.edu/vu-wp0/wp-content/uploads/sites/181/2013/08/01095102/Griffith_Derek.jpg,80 ZŁ
Devadip Carlos Santana,The Swing Of... 2 LP,HOL,EX,,https://img.discogs.com/SJbroNrqBnTDI6XtnazEarv00R4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-819465-1469611369-3887.jpeg.jpg,https://i.ebayimg.com/images/g/XcwAAOSwmoFc1I6i/s-l300.jpg,https://img.discogs.com/A4g-H2Ssj4r9kPAYffvsDx6mg7M=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1631472-1576954030-5388.jpeg.jpg,50 ZŁ
Dillinger,CB2000,UK,EX+,,https://img.discogs.com/evJyKen50eZ-4fH2GGkLW9_0NbM=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-615497-1187291599.jpeg.jpg,https://content-images.p-cdn.com/images/public/int/6/8/0/2/829410732086_1080W_1080H.jpg,https://img.discogs.com/2aiB-zAZm_mDPkOemb08at1hgwc=/fit-in/594x566/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-615497-1187291599.jpeg.jpg,65 ZŁ
Dio,The Last In Line,HOL,EX+,,https://www.udiscovermusic.com/wp-content/uploads/2017/07/Dio-The-Last-In-Line-album-cover-web-optimised-820.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/DioTheLastInLine.jpg/220px-DioTheLastInLine.jpg,https://www.udiscovermusic.com/wp-content/uploads/2017/07/Dio-The-Last-In-Line-album-cover-web-optimised-820-820x600.jpg,65 ZŁ
Dire Straits,Alchemy 2 LP,HOL,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg/220px-Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg,https://img.discogs.com/fZnB5sMOOn2t8uSzHsyaCASDpRQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-786374-1368618195-5750.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/6/6d/Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg,100 ZŁ
Dire Straits,Alchemy 2 LP,GER,NM,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg/220px-Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg,https://img.discogs.com/fZnB5sMOOn2t8uSzHsyaCASDpRQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-786374-1368618195-5750.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/6/6d/Dire_Straits_-_Alchemy_Dire_Straits_Live.jpg,90 ZŁ
Dire Straits,Brothers In Arms,UK,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/DS_Brothers_in_Arms.jpg/220px-DS_Brothers_in_Arms.jpg,https://www.markknopfler.com/wp-content/uploads/2013/08/BrothersInArms.jpg,https://upload.wikimedia.org/wikipedia/en/6/67/DS_Brothers_in_Arms.jpg,70 ZŁ
Dire Straits,Brothers In Arms,UK,EX-/EX,,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/DS_Brothers_in_Arms.jpg/220px-DS_Brothers_in_Arms.jpg,https://www.markknopfler.com/wp-content/uploads/2013/08/BrothersInArms.jpg,https://upload.wikimedia.org/wikipedia/en/6/67/DS_Brothers_in_Arms.jpg,60 ZŁ
Dire Straits,Brothers In Arms,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/DS_Brothers_in_Arms.jpg/220px-DS_Brothers_in_Arms.jpg,https://www.markknopfler.com/wp-content/uploads/2013/08/BrothersInArms.jpg,https://upload.wikimedia.org/wikipedia/en/6/67/DS_Brothers_in_Arms.jpg,50 ZŁ
Dire Straits,Dire Straits (debiut),GER,EX+,,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/DS_Dire_Straits.jpg/220px-DS_Dire_Straits.jpg,https://www.udiscovermusic.com/wp-content/uploads/2018/02/Dire-Straits-Debut-album-Cover-web-optimised-820.jpg,https://upload.wikimedia.org/wikipedia/en/1/15/DS_Dire_Straits.jpg,50 ZŁ
Dire Straits,Making Movies,UK,EX+,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sleeve_of_Making_Movies.svg/1200px-Sleeve_of_Making_Movies.svg.png,https://img.discogs.com/hjHK4oGywPpcGDlOQfeI_bAiJn8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-382415-1171138311.jpeg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sleeve_of_Making_Movies.svg/220px-Sleeve_of_Making_Movies.svg.png,55 ZŁ
Dire Straits,Making Movies,GER,EX+,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sleeve_of_Making_Movies.svg/1200px-Sleeve_of_Making_Movies.svg.png,https://img.discogs.com/hjHK4oGywPpcGDlOQfeI_bAiJn8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-382415-1171138311.jpeg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Sleeve_of_Making_Movies.svg/220px-Sleeve_of_Making_Movies.svg.png,50 ZŁ
Dire Straits,On Every Street,RUS,VG,,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Dire_Straits_-_On_Every_Street.jpg/220px-Dire_Straits_-_On_Every_Street.jpg,https://www.udiscovermusic.com/wp-content/uploads/2017/09/On-Every-Street.jpg,https://upload.wikimedia.org/wikipedia/en/f/ff/Dire_Straits_-_On_Every_Street.jpg,20 ZŁ
Dire Straits,same,UK,EX,,https://i.pinimg.com/originals/0c/3d/c0/0c3dc0a6ea41ecbf41da38821cd7ba97.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/DS_Brothers_in_Arms.jpg/220px-DS_Brothers_in_Arms.jpg,https://cdn11.bigcommerce.com/s-8e25iavqdi/images/stencil/1280x1280/products/30229/29706/money-for-nothing-album-cover-sticker__32554.1539731252.jpg?c=2&imbypass=on,55 ZŁ
Dire Straits,same,FRA,VG+/EX-,,https://i.pinimg.com/originals/0c/3d/c0/0c3dc0a6ea41ecbf41da38821cd7ba97.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/DS_Brothers_in_Arms.jpg/220px-DS_Brothers_in_Arms.jpg,https://cdn11.bigcommerce.com/s-8e25iavqdi/images/stencil/1280x1280/products/30229/29706/money-for-nothing-album-cover-sticker__32554.1539731252.jpg?c=2&imbypass=on,50 ZŁ
DM,A Broken Frame,ITA,EX-,,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Depeche_Mode_-_A_Broken_Frame.png/220px-Depeche_Mode_-_A_Broken_Frame.png,https://img.discogs.com/8hYx3MzJju8M60lJvObpUQP8g_I=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-60662-1413145899-3784.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/3/36/Depeche_Mode_-_A_Broken_Frame.png,55 ZŁ
Donna Summer,Another Place And Time,GER,EX-,,https://upload.wikimedia.org/wikipedia/en/1/1e/Another_Place_And_Time.jpg,https://img.discogs.com/MDZwmymCTFjaE3gbeS1sef3af3w=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3043257-1313074816.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Another_Place_And_Time.jpg/220px-Another_Place_And_Time.jpg,30 ZŁ
Duran Duran,Notorious,GER,EX,,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Duran_Duran_-_Notorious.png/220px-Duran_Duran_-_Notorious.png,https://www.metroweekly.com/articles/blogimages/soundwaves/2013/08/19/ddnotorious.jpg,https://upload.wikimedia.org/wikipedia/en/2/2c/Duran_Duran_-_Notorious.png,35 ZŁ
Eagles,The Long Run,UK,EX-,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/The_Eagles_The_Long_Run.jpg/220px-The_Eagles_The_Long_Run.jpg,https://images-na.ssl-images-amazon.com/images/I/71jCtXCoeVL._SL1500_.jpg,https://upload.wikimedia.org/wikipedia/en/5/5b/The_Eagles_The_Long_Run.jpg,25 ZŁ
Eberhard Weber,The Following Morning,GER,NM,,https://img.discogs.com/yx7ZvCfbmgsfGJlVORyqIceuHPE=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-680257-1467117387-2334.jpeg.jpg,https://upload.wikimedia.org/wikipedia/en/6/65/The_Following_Morning.jpg,https://img.discogs.com/Yr3SgtbV4v5PkINf2q8EErvrX7I=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-680257-1467117387-2334.jpeg.jpg,65 ZŁ
Eberhard Weber,Yellow Fields,GER,EX,,http://www.progarchives.com/progressive_rock_discography_covers/4754/cover_1948121172016_r.jpg,https://img.discogs.com/Qlz0QejVdTRwAat9vWzcRIeFGdg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1654208-1234792596.jpeg.jpg,https://e.snmc.io/i/300/w/e2466e569e48fef12a9453ba59ce3141/3707178,60 ZŁ
Echo & The Bunnymen,Reverberation,GER,EX+,,https://static.bhphoto.com/images/images2500x2500/1539618736_1437070.jpg,https://target.scene7.com/is/image/Target/GUEST_3ae0a3d0-fd48-44fa-a5dc-4490af6c490b?wid=488&hei=488&fmt=pjpeg,https://static.bhphoto.com/images/images2500x2500/1507046817_1365637.jpg,60 ZŁ
Edgar Forese,Ypsilon...,GER,VG+,,https://img.discogs.com/gGXVkpvyuzOGPJx2SrpBDPd3uT4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-61129-1253479021.jpeg.jpg,https://i.ytimg.com/vi/UPeW7KNEPSw/hqdefault.jpg,https://img.discogs.com/KGu3jTqPpa10E_1V-l85UtOln_8=/fit-in/598x598/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-50193-1335721389.jpeg.jpg,40 ZŁ
Editie Speciala...,Non-stop Dancing 2,ROM,EX,,https://img.discogs.com/JhzNmliekl4TQ5EsBSeuOzB7mw4=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3218279-1320960439.jpeg.jpg,https://d4q8jbdc3dbnf.cloudfront.net/user/553850/17a56c0d91899389d43d3ef4e2f54ff7.jpg,https://img.discogs.com/94nCc9XfQzXnKqGwAJsAl0Z59Nw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3218279-1320960439.jpeg.jpg,40 ZŁ
